nome_casa,endereço_casa,preco_casa,metros_casa,quartos_casa,banheiros_casa,vagas_casa
"Apartamento com 3 Quartos à Venda, 120m²","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",R$ 367.000,120,3,2,2
Residencial Sabine,"Rua Macapá, 80 - Jardim Panorama, Salto - SP",R$ 183.490,40-43,2,1,1
"Apartamento com 3 Quartos à Venda, 64m²","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",R$ 330.000,64,3,1,1
"Apartamento com 3 Quartos à Venda, 94m²","Rua Turmalina, 51 - Jardim Sontag, Salto - SP",R$ 550.000,94,3,2,1
"Apartamento com 2 Quartos à Venda, 62m²","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",R$ 340.000,62,2,2,1
"Apartamento com 2 Quartos à Venda, 65m²","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",R$ 270.000,65,2,2,1
"Apartamento com 2 Quartos à Venda, 53m²","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",R$ 275.000,53,2,1,1
"Apartamento com 2 Quartos à Venda, 48m²","Avenida Eugênio Coltro, 1925 - Salto Ville, Salto - SP",R$ 190.000,48,2,1,1
Residencial Sollare,"Rua das Nações Unidas, 2111 - Olaria, Salto - SP",R$ 168.490,40,2,1-2,1
"Apartamento com 4 Quartos à Venda, 158m²","Rua Itapiru, 795 - Parque Bela Vista, Salto - SP",R$ 700.000,158,4,4,2
"Apartamento com 2 Quartos à Venda, 47m²","Rua Antônio Gianotto, 243 - Guaraú, Salto - SP",R$ 185.000,47,2,1,1
"Apartamento com 2 Quartos à Venda, 53m²","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",R$ 277.000,53,2,1,1
Apartamento com 2 Quartos à Venda/Aluguel 76m²,"Rua Padre José de Anchieta, 86 - Vila Romão, Salto - SP",R$ 1.500 /mês,76,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 62m²,"Jardim Sontag, Salto - SP",R$ 260.000,62,2,2,1
"Apartamento com 2 Quartos à Venda, 61m²","Salto Ville, Salto - SP",R$ 1.800 /mês,61,2,1,1
Torres de Itu,"Rua Francisco Brantes Lima, 501 - Jardim Rosinha, Itu - SP",R$ 290.000,73-86,2-3,2,1-2
"Apartamento com 2 Quartos à Venda, 51m²","Rua Melvin Jones, 500 - Vila Roma, Salto - SP","A partir de
R$ 309.000",51,2,1,1
"Apartamento com 2 Quartos à Venda, 74m²","Jardim Nair Maria, Salto - SP",R$ 206.000,74,2,1,1
"Apartamento com 2 Quartos à Venda, 48m²","Rua Eviner Gonzaga - Loteamento Jardim das Constelacoes, Salto - SP",R$ 371.000,48,2,1,1
"Apartamento com 3 Quartos à Venda, 84m²","Rua Doutor Henrique Viscardi - Vila Henrique, Salto - SP",R$ 170.000,84,3,2,2
"Apartamento com 3 Quartos à Venda, 75m²","Rua São Mateus - Jardim Nova Era, Salto - SP",R$ 420.000,75,3,2,2
"Apartamento com 2 Quartos à Venda, 45m²","Jardim Nair Maria, Salto - SP",R$ 390.000,45,2,1,--
"Apartamento com 3 Quartos à Venda, 85m²","Rua São Mateus, 51 - Jardim Nova Era, Salto - SP",R$ 190.000,85,3,1,2
"Apartamento com 2 Quartos à Venda, 44m²","Rua Eviner Gonzaga, 22 - Loteamento Jardim das Constelacoes, Salto - SP",R$ 209.000,44,2,1,1
"Apartamento com 2 Quartos à Venda, 65m²","Avenida Remigio Dalla Vecchia, 431 - Jardim Nair Maria, Salto - SP",R$ 186.000,65,2,1,1
"Apartamento com 2 Quartos à Venda, 46m²","Salto Ville, Salto - SP",R$ 295.000,46,2,1,1
"Apartamento com 2 Quartos à Venda, 62m²","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",R$ 3.200 /mês,62,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 114m²,"Vila Teixeira, Salto - SP",R$ 480.000,114,2,3,2
Apartamento com 3 Quartos para Venda/Aluguel 63m²,"Parque Bela Vista, Salto - SP",R$ 2.300 /mês,63,3,1,1
"Apartamento com 2 Quartos à Venda, 46m²","Parque Bela Vista, Salto - SP",R$ 320.000,46,2,1,1
"Apartamento com 3 Quartos à Venda, 63m²","Jardim Nair Maria, Salto - SP",R$ 220.000,63,3,2,--
"Apartamento com 2 Quartos à Venda, 42m²","Avenida Remigio Dalla Vecchia, 0 - Jardim Nair Maria, Salto - SP",R$ 185.000,42,2,1,1
"Apartamento com 2 Quartos à Venda, 74m²","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",R$ 367.000,74,2,1,1
